"","x"
"1","p17787-pro_0000000379"
"2","p43681-pro_0000000351"
"3","p05067-pro_0000000092"
"4","p05067-pro_0000000093"
"5","p15309-pro_0000023963"
"6","s10aa_human"
"7","anxa2_human"
"8","ncbp1_human"
"9","calrl_human"
"10","o60896-pro_0000030176"
"11","calcr_human"
"12","ramp2_human"
"13","ramp3_human"
"14","hltf_human"
"15","calcium(2+)"
"16","cyc_human"
"17","apaf_human"
"18","iron"
"19","heme"
"20","p55211-pro_0000004643"
"21","atg5_human"
"22","atg12_human"
"23","tcpr1_human"
"24","atp4b_human"
"25","atr_human"
"26","baz1b_human"
"27","bad_human"
"28","ari1a_human"
"29","snf5_human"
"30","acl6a_human"
"31","smca4_human"
"32","actb_human"
"33","acl6b_human"
"34","ari1b_human"
"35","bag6_human"
"36","get4_human"
"37","asxl1_human"
"38","smca5_human"
"39","baz2a_human"
"40","pthb1_human"
"41","bbs2_human"
"42","bbs1_human"
"43","bbs5_human"
"44","bbs4_human"
"45","bbip1_human"
"46","q07817-1"
"47","bcl2_human"
"48","bid_human"
"49","bik_human"
"50","b2l11_human"
"51","brca2_human"
"52","brca1_human"
"53","top3a_human"
"54","rmi2_human"
"55","magnesium(2+)"
"56","zinc(2+)"
"57","jun_human"
"58","tnni3_human"
"59","c1qb_human"
"60","abec1_human"
"61","o60506-1"
"62","a1cf_human"
"63","p01024-pro_0000005908"
"64","q96lt7-1"
"65","rbbp4_human"
"66","caf1b_human"
"67","canb1_human"
"68","pp2ba_human"
"69","calm_human"
"70","canb2_human"
"71","pp2bb_human"
"72","pp2bc_human"
"73","s10a9_human"
"74","s10a8_human"
"75","cacb2_human"
"76","p54289-pro_0000005002"
"77","p54289-pro_0000005001"
"78","p42575-pro_0000004542"
"79","p42575-pro_0000004545"
"80","p42574-pro_0000004572"
"81","p42574-pro_0000004571"
"82","p55212-pro_0000004609"
"83","p55212-pro_0000004611"
"84","p55210-pro_0000004617"
"85","p55210-pro_0000004619"
"86","q14790-pro_0000004629"
"87","q14790-pro_0000004631"
"88","p55211-pro_0000004641"
"89","cradd_human"
"90","casp2_human"
"91","pidd1_human"
"92","catb_human"
"93","ccnc_human"
"94","ccnk_human"
"95","q9uq88-10"
"96","q9uq88-1"
"97","p21127-1"
"98","p21127-12"
"99","ccnt1_human"
"100","o60583-2"
"101","o60583-1"
"102","cdk14_human"
"103","cdc37_human"
"104","hs90a_human"
"105","hs90b_human"
"106","ccnq_human"
"107","q15078-pro_0000004795"
"108","cdk5_human"
"109","cebpa_human"
"110","cebpb_human"
"111","cecr2_human"
"112","cenpj_human"
"113","ddit3_human"
"114","chrc1_human"
"115","p02708-pro_0000000305"
"116","q04844-pro_0000000329"
"117","achd_human"
"118","p07510-pro_0000000334"
"119","q15822-pro_0000000340"
"120","p32297-pro_0000000346"
"121","p30926-pro_0000000389"
"122","q9ugm1-pro_0000000371"
"123","cdk8_human"
"124","cdk19_human"
"125","clock_human"
"126","bmal2_human"
"127","bin1_human"
"128","co4a2_human"
"129","co4a6_human"
"130","co8a2_human"
"131","co5a2_human"
"132","cnd3_human"
"133","cnd1_human"
"134","smc4_human"
"135","smc2_human"
"136","cndg2_human"
"137","cndd3_human"
"138","csn5_human"
"139","coq6_human"
"140","coq3_human"
"141","coq5_human"
"142","coq7_human"
"143","iron cation"
"144","borea_human"
"145","birc5_human"
"146","aurkb_human"
"147","per1_human"
"148","per2_human"
"149","cry1_human"
"150","cry2_human"
"151","ten1l_human"
