"File_Name" "Network_Group_Name" "Network_Name" "Source" "Pubmed_ID"
"1" "Predicted.I2D-BIND-Fly2Human.txt" "Predicted" "I2D-BIND-Fly2Human" "I2D" 10871269
"2" "Predicted.I2D-BIND-Mouse2Human.txt" "Predicted" "I2D-BIND-Mouse2Human" "I2D" 10871269
"3" "Predicted.I2D-BIND-Rat2Human.txt" "Predicted" "I2D-BIND-Rat2Human" "I2D" 10871269
"4" "Predicted.I2D-BIND-Worm2Human.txt" "Predicted" "I2D-BIND-Worm2Human" "I2D" 10871269
"5" "Predicted.I2D-BIND-Yeast2Human.txt" "Predicted" "I2D-BIND-Yeast2Human" "I2D" 10871269
"6" "Predicted.I2D-BioGRID-Fly2Human.txt" "Predicted" "I2D-BioGRID-Fly2Human" "I2D" 16381927
"7" "Predicted.I2D-BioGRID-Mouse2Human.txt" "Predicted" "I2D-BioGRID-Mouse2Human" "I2D" 16381927
"8" "Predicted.I2D-BioGRID-Rat2Human.txt" "Predicted" "I2D-BioGRID-Rat2Human" "I2D" 16381927
"9" "Predicted.I2D-BioGRID-Worm2Human.txt" "Predicted" "I2D-BioGRID-Worm2Human" "I2D" 16381927
"10" "Predicted.I2D-BioGRID-Yeast2Human.txt" "Predicted" "I2D-BioGRID-Yeast2Human" "I2D" 16381927
"11" "Predicted.I2D-Chen-Pawson-2009-PiwiScreen-Mouse2Human.txt" "Predicted" "I2D-Chen-Pawson-2009-PiwiScreen-Mouse2Human" "I2D" 19918066
"12" "Predicted.I2D-Formstecher-Daviet-2005-Embryo-Fly2Human.txt" "Predicted" "I2D-Formstecher-Daviet-2005-Embryo-Fly2Human" "I2D" 15710747
"13" "Predicted.I2D-Giot-Rothbert-2003-Low-Fly2Human.txt" "Predicted" "I2D-Giot-Rothbert-2003-Low-Fly2Human" "I2D" 14605208
"14" "Predicted.I2D-INNATEDB-Mouse2Human.txt" "Predicted" "I2D-INNATEDB-Mouse2Human" "I2D" 18766178
"15" "Predicted.I2D-IntAct-Fly2Human.txt" "Predicted" "I2D-IntAct-Fly2Human" "I2D" 19850723
"16" "Predicted.I2D-IntAct-Mouse2Human.txt" "Predicted" "I2D-IntAct-Mouse2Human" "I2D" 19850723
"17" "Predicted.I2D-IntAct-Rat2Human.txt" "Predicted" "I2D-IntAct-Rat2Human" "I2D" 19850723
"18" "Predicted.I2D-IntAct-Worm2Human.txt" "Predicted" "I2D-IntAct-Worm2Human" "I2D" 19850723
"19" "Predicted.I2D-IntAct-Yeast2Human.txt" "Predicted" "I2D-IntAct-Yeast2Human" "I2D" 19850723
"20" "Predicted.I2D-Krogan-Greenblatt-2006-Core-Yeast2Human.txt" "Predicted" "I2D-Krogan-Greenblatt-2006-Core-Yeast2Human" "I2D" 16554755
"21" "Predicted.I2D-Krogan-Greenblatt-2006-NonCore-Yeast2Human.txt" "Predicted" "I2D-Krogan-Greenblatt-2006-NonCore-Yeast2Human" "I2D" 16554755
"22" "Predicted.I2D-Li-Vidal-2004-CORE-1-Worm2Human.txt" "Predicted" "I2D-Li-Vidal-2004-CORE-1-Worm2Human" "I2D" 14704431
"23" "Predicted.I2D-Li-Vidal-2004-non-core-Worm2Human.txt" "Predicted" "I2D-Li-Vidal-2004-non-core-Worm2Human" "I2D" 14704431
"24" "Predicted.I2D-MGI-Mouse2Human.txt" "Predicted" "I2D-MGI-Mouse2Human" "I2D" 15707487
"25" "Predicted.I2D-MINT-Fly2Human.txt" "Predicted" "I2D-MINT-Fly2Human" "I2D" 11911893
"26" "Predicted.I2D-MINT-Mouse2Human.txt" "Predicted" "I2D-MINT-Mouse2Human" "I2D" 11911893
"27" "Predicted.I2D-MINT-Rat2Human.txt" "Predicted" "I2D-MINT-Rat2Human" "I2D" 11911893
"28" "Predicted.I2D-MINT-Worm2Human.txt" "Predicted" "I2D-MINT-Worm2Human" "I2D" 11911893
"29" "Predicted.I2D-MINT-Yeast2Human.txt" "Predicted" "I2D-MINT-Yeast2Human" "I2D" 11911893
"30" "Predicted.I2D-Manual-Mouse2Human.txt" "Predicted" "I2D-Manual-Mouse2Human" "I2D" 0
"31" "Predicted.I2D-Manual-Rat2Human.txt" "Predicted" "I2D-Manual-Rat2Human" "I2D" 0
"32" "Predicted.I2D-Ptacek-Snyder-2005-Yeast2Human.txt" "Predicted" "I2D-Ptacek-Snyder-2005-Yeast2Human" "I2D" 16319894
"33" "Predicted.I2D-Tarassov-PCA-Yeast2Human.txt" "Predicted" "I2D-Tarassov-PCA-Yeast2Human" "I2D" 18467557
"34" "Predicted.I2D-Tewari-Vidal-2004-TGFb-Worm2Human.txt" "Predicted" "I2D-Tewari-Vidal-2004-TGFb-Worm2Human" "I2D" 14992718
"35" "Predicted.I2D-Wang-Orkin-2006-EScmplx-Mouse2Human.txt" "Predicted" "I2D-Wang-Orkin-2006-EScmplx-Mouse2Human" "I2D" 17093407
"36" "Predicted.I2D-Wang-Orkin-2006-EScmplxlow-Mouse2Human.txt" "Predicted" "I2D-Wang-Orkin-2006-EScmplxlow-Mouse2Human" "I2D" 17093407
"37" "Predicted.I2D-Yu-Vidal-2008-GoldStd-Yeast2Human.txt" "Predicted" "I2D-Yu-Vidal-2008-GoldStd-Yeast2Human" "I2D" 18719252
"38" "Predicted.I2D-vonMering-Bork-2002-High-Yeast2Human.txt" "Predicted" "I2D-vonMering-Bork-2002-High-Yeast2Human" "I2D" 12000970
"39" "Predicted.I2D-vonMering-Bork-2002-Low-Yeast2Human.txt" "Predicted" "I2D-vonMering-Bork-2002-Low-Yeast2Human" "I2D" 12000970
"40" "Predicted.I2D-vonMering-Bork-2002-Medium-Yeast2Human.txt" "Predicted" "I2D-vonMering-Bork-2002-Medium-Yeast2Human" "I2D" 12000970
"41" "Predicted.Stuart-Kim-2003.txt" "Predicted" "Stuart-Kim-2003" "SUPPLEMENTARY_MATERIAL" 12934013
"42" "Predicted.Wu-Stein-2010.txt" "Predicted" "Wu-Stein-2010" "SUPPLEMENTARY_MATERIAL" 20482850
"43" "Co-expression.Agnelli-Neri-2007.txt" "Co-expression" "Agnelli-Neri-2007" "GEO" 17367409
"44" "Co-expression.Agnelli-Neri-2009.txt" "Co-expression" "Agnelli-Neri-2009" "GEO" 19396863
"45" "Co-expression.Alter-Stephan-2011.txt" "Co-expression" "Alter-Stephan-2011" "GEO" 21379579
"46" "Co-expression.Ariazi-Jordan-2011.txt" "Co-expression" "Ariazi-Jordan-2011" "GEO" 22011582
"47" "Co-expression.Arijs-Rutgeerts-2009.txt" "Co-expression" "Arijs-Rutgeerts-2009" "GEO" 19956723
"48" "Co-expression.Balgobind-den_Boer-2011.txt" "Co-expression" "Balgobind-den Boer-2011" "GEO" 20971820
"49" "Co-expression.Barnes-Colbert-2009.txt" "Co-expression" "Barnes-Colbert-2009" "GEO" 19565513
"50" "Co-expression.Barnes-Glass-2010.txt" "Co-expression" "Barnes-Glass-2010" "GEO" 20662067
"51" "Co-expression.Barretina-Singer-2010.txt" "Co-expression" "Barretina-Singer-2010" "GEO" 20601955
"52" "Co-expression.Baty-Brutsche-2006.txt" "Co-expression" "Baty-Brutsche-2006" "GEO" 17010189
"53" "Co-expression.Beane-Spira-2007.txt" "Co-expression" "Beane-Spira-2007" "GEO" 17894889
"54" "Co-expression.Berchtold-Cotman-2008.txt" "Co-expression" "Berchtold-Cotman-2008" "GEO" 18832152
"55" "Co-expression.Berkofsky-Fessler-Hilton-2009.txt" "Co-expression" "Berkofsky-Fessler-Hilton-2009" "GEO" 19755512
"56" "Co-expression.Bhojwani-Carroll-2006.txt" "Co-expression" "Bhojwani-Carroll-2006" "GEO" 16822902
"57" "Co-expression.Bigler-Russell-2013.txt" "Co-expression" "Bigler-Russell-2013" "GEO" 23308107
"58" "Co-expression.Bild-Nevins-2006_A.txt" "Co-expression" "Bild-Nevins-2006 A" "GEO" 16273092
"59" "Co-expression.Bild-Nevins-2006_C.txt" "Co-expression" "Bild-Nevins-2006 C" "GEO" 16273092
"60" "Co-expression.Bjornsdottir-O'Toole-2011.txt" "Co-expression" "Bjornsdottir-O'Toole-2011" "GEO" 21779351
