"hgnc_symbol"	"mim_morbid_accession"
"ABCG4"	NA
"AKAP1"	NA
"ABCA1"	604091
"ABCA1"	205400
"ABCA1"	143890
"ADAT2"	NA
"ACP1"	NA
"AGPAT1"	NA
"AAMP"	NA
"AKR1C4"	614279
"ADGRL1"	NA
"ABCA6"	NA
"ADRA1A"	NA
"ABCF1"	NA
"ACSM3"	NA
"ADO"	NA
"ADRB3"	601665
"ABHD4"	NA
"ACSM1"	NA
"AGER"	NA
"ALAS2"	300752
"ALAS2"	300751
"ABT1"	NA
"ABRA"	NA
"ABCB6"	615402
"ABCB6"	614497
"ABCB6"	609153
"ABCB6"	111600
"ACSS1"	NA
"ADAM19"	NA
"ABAT"	613163
"ADI1"	NA
"ADRA2B"	607876
"ACAT2"	614055
"ACRBP"	NA
"AKAP2"	NA
"AAK1"	NA
"ADGRE5"	NA
"AGPAT2"	608594
"ACTRT2"	NA
"ACTN1"	615193
"ABR"	NA
"ADAM17"	614328
"AGBL5"	617023
"ABCB4"	614972
"ABCB4"	602347
"ABCB4"	600803
"ACAA2"	NA
"ABCC13"	NA
"ACO1"	NA
"ACD"	616553
"ADGRB3"	NA
"ADD2"	NA
"AGO2"	NA
"ADAM7"	NA
"ADAM28"	NA
"ADNP"	NA
"ABCB1"	612244
"ABCB1"	120080
"ADAMDEC1"	NA
"AKAP8L"	NA
"ADAMTSL1"	NA
"AHRR"	NA
"ABL1"	617602
"AIMP2"	NA
"AKAP8"	NA
"ADAM9"	612775
"A1BG"	NA
"ACAA1"	NA
"ADCY8"	NA
"ACOXL"	NA
"ADRM1"	NA
"ABCB11"	605479
"ABCB11"	601847
"ABCC9"	614050
"ABCC9"	608569
"ABCC9"	239850
"AHNAK"	NA
"AIPL1"	604393
"AIPL1"	268000
"AKAP3"	NA
"AKAP6"	NA
"ALAS1"	NA
"ABCA7"	608907
"ABCC1"	NA
"ALDH3A2"	270200
"ADAMTS12"	NA
"ADCY2"	NA
"AKAP11"	NA
"ADAM18"	NA
"ACOT7"	NA
"AK3"	NA
"ADM5"	NA
"ACE2"	NA
"ADPRM"	NA
"ABCA3"	610921
"ABHD1"	NA
"AK1"	612631
"ADAD2"	NA
"ADAM2"	NA
"ABCA10"	NA
"ABCA5"	NA
"ADORA2B"	NA
"ADD1"	145500
"ALDH1A2"	NA
"ACYP2"	NA
"ABCC6"	614473
"ABCC6"	264800
"ABCC6"	177850
"AASDHPPT"	NA
"ABCC10"	NA
"ADRB1"	607276
"AGPS"	600121
"ABCC2"	237500
"ACSM4"	NA
"ACBD4"	NA
"ALAD"	612740
"AGK"	614691
"AGK"	212350
"ACTL8"	NA
"ACMSD"	NA
"AKAP17A"	NA
"AGAP5"	NA
"ADIG"	NA
"ACAP3"	NA
"ACOT8"	NA
"ADAM22"	617933
"ABHD16A"	NA
"AK8"	NA
"ADCYAP1"	NA
"ACTR5"	NA
"AHCY"	613752
"ACOT9"	NA
"AGFG1"	NA
"AEBP1"	NA
"AATF"	NA
"AHSP"	NA
"AFAP1L2"	NA
"ACLY"	NA
"ADAM23"	NA
"ADAM10"	615590
"ADAM10"	615537
"ADRA1B"	NA
"AIF1"	NA
"AGGF1"	NA
"ACER2"	NA
"ADRB2"	601665
"ADRB2"	600807
"AKAP14"	NA
"ADAMTS13"	274150
"ACVR2A"	NA
"ACSBG2"	NA
"ABCA2"	NA
"ABLIM1"	NA
"ADTRP"	NA
"AKAP7"	NA
"ADIPOR2"	NA
"ADAMTSL5"	NA
"ABCC4"	NA
"AK9"	NA
"ADAMTS6"	NA
"ADIRF"	NA
"ADAM8"	NA
"AGTR2"	NA
"AIFM3"	NA
"ABHD8"	NA
"ABCD1"	300100
"ACADL"	NA
"ACTR1A"	NA
"ADCY1"	610154
"ACTR1B"	NA
"AFG3L2"	614487
"AFG3L2"	610246
"ACSL4"	300387
"ADCY3"	617885
"AATK"	NA
"ACACA"	613933
"ACAT1"	203750
"ACTL7B"	NA
"ACTL7A"	NA
"ADAMTS17"	613195
"ADAMTS19"	NA
"ADAM20"	NA
"ADAM21"	NA
"ACTG2"	NA
"ADGRB1"	NA
"ACAP1"	NA
"ACER1"	NA
"ABCG1"	NA
"ADNP2"	NA
"AGTPBP1"	NA
"AFF4"	616368
"ABHD6"	NA
"ABHD5"	275630
"A4GALT"	111400
"ADAMTSL2"	231050
"AGRP"	601665
"ABCD2"	NA
"A2M"	614036
"A2M"	104300
"ADAM33"	NA
"ACBD7"	NA
"ADAP1"	NA
"ABCA8"	NA
"ACIN1"	NA
"AGPAT3"	NA
"ABCA9"	NA
"AARS2"	615889
"AARS2"	614096
"AEBP2"	NA
"ALDH1A3"	615113
"ACYP1"	NA
"AGFG2"	NA
"ADGB"	NA
"AKT3"	615937
"AHI1"	608629
"ADM"	NA
"AFAP1"	NA
"ACOT1"	NA
"AGMAT"	NA
"AFTPH"	NA
"ADRA2C"	NA
"ACOT2"	NA
"ACOT13"	NA
"ACSL6"	NA
"ACOT4"	NA
"ACRV1"	NA
"ACOT6"	NA
"AFMID"	NA
"ACSL3"	NA
"ABI2"	NA
"ALDH3A1"	NA
"AFDN"	NA
"AJUBA"	NA
"ADCK5"	NA
"ACTC1"	613424
"ACTC1"	612794
"ACTC1"	612098
"ADRA1D"	NA
"ACOX2"	617308
"AKNA"	NA
"ACOT12"	NA
"ABI3"	NA
"ACTL6B"	NA
"ABL2"	NA
"ACADSB"	610006
"ACTR3C"	NA
"ACVR2B"	613751
"AGXT2"	210100
"AARS"	616339
"AARS"	613287
"ACTA2"	614042
"ACTA2"	613834
"ACTA2"	611788
"AIM2"	NA
"AGAP4"	NA
"ACKR1"	611862
"ACKR1"	611162
"ACKR1"	110700
"ABHD17A"	NA
"AKR1C1"	NA
"ADCK2"	NA
"AGO4"	NA
"ADCY4"	NA
"ACBD6"	NA
"AK2"	267500
"AKAP10"	115080
"ADAT3"	615286
"ADGRB2"	NA
"AGO1"	NA
"AGO3"	NA
"AIRE"	240300
"ABCB7"	301310
"AGRN"	615120
"AGXT"	259900
"AKR1C2"	614279
"AES"	NA
"AKR1C3"	NA
"AGPAT5"	NA
"ADCY9"	NA
"AFG3L1P"	NA
"AKAP5"	NA
"AANAT"	614163
"ADPRHL2"	NA
"ADAMTS16"	NA
"AKT2"	240900
"AKT2"	125853
"ADAMTS4"	NA
"ACTR2"	NA
"ADAMTS3"	NA
"A3GALT2"	NA
"AIP"	600634
"AIP"	219090
"AIP"	102200
"AIP"	102000
"ACTN4"	603278
"AKAP9"	611820
"ACTRT1"	NA
"ADD3"	617008
"ADK"	614300
"ABHD10"	NA
"AARSD1"	NA
"ACCSL"	NA
"ADGRA2"	NA
"AFAP1L1"	NA
"ABLIM3"	NA
"AGAP6"	NA
"AHSG"	203650
"ACCS"	NA
"ADORA2A"	NA
"ABCA13"	NA
"AK4"	NA
"ADCY7"	NA
"ABCC12"	NA
"AAR2"	NA
"AIDA"	NA
"ACOX1"	264470
"ABCC8"	610374
"ABCC8"	606176
"ABCC8"	256450
"ABCC8"	240800
"ABCC8"	125853
"AK6"	NA
"ADPRH"	NA
"AIMP1"	260600
"ADIPOQ"	612556
"ABCB8"	NA
"ACSS2"	NA
"ADSS"	NA
"AKAP4"	NA
"ADCY10"	143870
"ACBD3"	NA
"ALCAM"	NA
"ACSF3"	614265
"AGAP3"	NA
"ADAT1"	NA
"ACER3"	617762
"ABTB2"	NA
"AKNAD1"	NA
"ABCC3"	NA
"ADGRF5"	NA
"AHCTF1"	NA
"ALDH16A1"	NA
"AFF1"	NA
"AKT1S1"	NA
"AASDH"	NA
"ACSM6"	NA
"ACADVL"	201475
"ADRA2A"	NA
"ACY1"	609924
"ACACB"	NA
"ADA"	102700
"ABHD14A-ACY1"	NA
"ABHD14B"	NA
"ACSM5"	NA
"ALB"	616000
"ALB"	615999
"ADHFE1"	NA
"AIFM2"	NA
"ADAMTS2"	225410
"ABCF2"	NA
"ADH5"	NA
"ACVR1C"	NA
"ABHD15"	NA
"AGAP2"	NA
"AKR7A3"	NA
"AKR7A2"	NA
"ADIPOR1"	NA
"AKIRIN2"	NA
"ACVR1"	NA
"ACSM2A"	NA
"AFP"	615970
"AFP"	615969
"ADORA1"	NA
"ABLIM2"	NA
"ADH1A"	NA
"ADH4"	NA
"ADAMTS9"	NA
"A1CF"	NA
"ADH6"	NA
"AFM"	NA
"ACTA1"	616852
"ACTA1"	255310
"ACTA1"	161800
"ABCB10"	NA
"ADCY6"	616287
"ADCK1"	NA
"ADH1B"	103780
"ADAMTS10"	277600
"AAMDC"	NA
"ADH1C"	168600
"ADH1C"	103780
"AGT"	267430
"AGT"	145500
"ACTR3"	NA
"ACSM2B"	NA
"ADH7"	NA
"ADAMTS20"	NA
"AKIRIN1"	NA
"ACTN3"	617749
"AGTRAP"	NA
"AKR1D1"	235555
"AGMO"	NA
"ADAMTS8"	NA
"ADSL"	103050
"ADAMTS15"	NA
"AK7"	NA
"ACPP"	NA
"ABCG8"	611465
"ABCG8"	210250
"ABCG5"	210250
"ADGRG5"	NA
"AHDC1"	615829
"ACTL9"	NA
"ACTR6"	NA
"ACKR4"	NA
"AKR1A1"	NA
"ACAD11"	NA
"AIFM1"	310490
"AIFM1"	300614
"ADAMTS14"	NA
"ABI1"	NA
"ADORA3"	NA
"ADAM11"	NA
"AAAS"	231550
"AACS"	NA
"ADAMTS18"	615458
"ACHE"	112100
"ACSBG1"	NA
"ACADM"	201450
"AHSA1"	NA
"ADCYAP1R1"	NA
"ABCE1"	NA
"ADARB1"	NA
"ACP5"	607944
"AAGAB"	148600
"ABHD11"	NA
"ALDH1L1"	NA
"ACSL5"	NA
"ACTG1"	614583
"ACTG1"	604717
"A4GNT"	NA
"ABO"	616093
"ACY3"	NA
"ACP6"	NA
"AKAP13"	NA
"ACTN2"	612158
"ADAMTS1"	NA
"ALDH18A1"	616603
"ALDH18A1"	616586
"ALDH18A1"	601162
"ALDH18A1"	219150
"ACSL1"	NA
"ACSS3"	NA
"AHCYL1"	NA
"ACTR3B"	NA
"ACAP2"	NA
"ABCG2"	614490
"ABCG2"	138900
"AK5"	NA
"ADAP2"	NA
"ACOX3"	NA
"AGR2"	NA
"ADAMTS5"	NA
"AKAP12"	NA
"AGBL1"	615523
"AGR3"	NA
"AKR1B1"	NA
"AKTIP"	NA
"AKR1B10"	NA
"AGAP1"	NA
"AKR1B15"	NA
"AHR"	NA
"ADGRG1"	615752
"ADGRG1"	606854
"ACR"	NA
"AGTR1"	267430
"AGTR1"	145500
"AADACL3"	NA
"ACTBL2"	NA
"ACSF2"	NA
"AGPAT4"	NA
"ADSSL1"	617030
"ABCD4"	614857
"ACKR3"	NA
"ABTB1"	NA
"ADCY5"	606703
"ADAMTSL4"	225200
"ADAMTSL4"	225100
"ABCC5"	NA
"AHCYL2"	NA
"ADGRL2"	NA
"AKT1"	615109
"AKT1"	181500
"AKT1"	176920
"AKT1"	167000
"AKT1"	114500
"AKT1"	114480
"AKIP1"	NA
"ADAM12"	NA
"ACTB"	607371
"ACTB"	243310
"ALDH1A1"	NA
"ACTR8"	NA
"ADPGK"	NA
"AEN"	NA
"ACVRL1"	600376
"AADAT"	NA
"ACAD9"	611126
"ADAD1"	NA
"ACAN"	612813
"ACAN"	608361
"ACAN"	165800
"ACE"	614519
"ACE"	612624
"ACE"	267430
"ACE"	104300
"ADGRG7"	NA
"ALDH2"	610251
"ACAD10"	NA
"AHNAK2"	NA
"ACVR1B"	NA
"ACTL6A"	NA
"AGBL4"	NA
"ADM2"	NA
"AIG1"	NA
"ADAL"	NA
"ABI3BP"	NA
"ALDH1B1"	NA
"ADAM30"	NA
"AASS"	268700
"AASS"	238700
"ADAMTSL3"	NA
"ABCF3"	NA
"ACO2"	616289
"ACO2"	614559
"ADAMTS7"	NA
"ACTR10"	NA
"ACOT11"	NA
"ADAR"	615010
"ADAR"	127400
"AICDA"	605258
"ABCA4"	604116
"ABCA4"	601718
"ABCA4"	248200
"ABCA4"	153800
"ADAM15"	NA
"ABCD3"	616278
"ACAD8"	611283
"ACKR2"	NA
"AGL"	232400
"ACADS"	201470
"ALDH1L2"	NA
"AQP4"	NA
"ANGPTL2"	NA
"ANO9"	NA
"ARMCX3"	NA
"ARHGEF10"	608236
"ALKBH6"	NA
"AP5B1"	NA
"APMAP"	NA
"ANAPC15"	NA
"APEX1"	NA
"AMMECR1L"	NA
"ARMCX2"	NA
"ANK1"	182900
"APEX2"	NA
"APH1B"	NA
"AQP7"	614411
"APOM"	NA
"ANGPT1"	NA
"ARHGEF39"	NA
"ANXA4"	NA
"ALG1"	608540
"AQP3"	607457
"ARHGAP33"	NA
"ARF3"	NA
"ANAPC4"	NA
"ANXA7"	NA
"ARPC4"	NA
"ANKRD54"	NA
"APOH"	NA
"ARFGAP2"	NA
"APIP"	NA
"ANKRD30A"	NA
"ARHGEF18"	617433
"APBB2"	104300
"ARHGAP6"	NA
"ARHGDIG"	NA
"ANKRD39"	NA
"ANKRD6"	NA
"ANKRD23"	NA
"AMFR"	NA
"AMELX"	301200
"ANKRD42"	NA
"ARHGAP5"	NA
"AMOTL1"	NA
"AMTN"	617607
"ANKRD12"	NA
"ARFGEF2"	608097
"ALG13"	300884
"ANO3"	615034
"ALDOB"	229600
"APLNR"	NA
"APLP1"	NA
"ANKH"	123000
"ANKH"	118600
"ANP32B"	NA
"ARAP3"	NA
"ANKRD30BL"	NA
"AMBN"	616270
"APOBR"	NA
"APBA2"	NA
"ANAPC1"	NA
"ARL11"	NA
"AP4E1"	613744
"AP4E1"	184450
"ANKRD53"	NA
"ARRDC1"	NA
"ALDH8A1"	NA
"ARHGAP32"	NA
"ALG9"	608776
"ALG9"	263210
"APOB"	615558
"APOB"	144010
"ALK"	613014
"ARAP1"	NA
"ARPC5L"	NA
"ANO4"	NA
"ARHGAP28"	NA
"ANG"	611895
"ARHGEF16"	NA
"APPBP2"	NA
"AP3D1"	617050
"ANKRD27"	NA
"ANKRD20A2"	NA
"AQP9"	NA
"AR"	313200
"AR"	312300
"AR"	300633
"AR"	300068
"AR"	176807
"ARHGAP45"	NA
"APTX"	208920
"ARID5A"	NA
"ARHGEF10L"	NA
"ANKRD36"	NA
"ARMC10"	NA
"ANKZF1"	NA
"ARMC6"	NA
"ARMC12"	NA
"APBA1"	NA
"ALMS1"	203800
"APOA5"	145750
"APOA5"	144650
"APOA4"	NA
"ARAF"	NA
"APOC3"	614028
"ARHGAP17"	NA
"APOA1"	604091
"APOA1"	105200
"AP1S2"	NA
"ALS2"	607225
"ALS2"	606353
"ALS2"	205100
"APOBEC2"	NA
"AMOT"	NA
"ANKLE1"	NA
"APC2"	617169
"ARFRP1"	NA
"ARL3"	NA
"AQP12B"	NA
"ARMCX5"	NA
"AQP12A"	NA
"ALDOC"	NA
"ARNTL2"	NA
"APOBEC3A"	NA
"ALDH4A1"	239510
"ARPC1B"	617718
"ANKRA2"	NA
"ARPC1A"	NA
"ANO1"	NA
"ARIH2"	NA
"ARL6IP1"	615685
"APC"	613659
"APC"	175100
"APC"	135290
"APC"	114550
"APC"	114500
"ARL15"	NA
"ANKRD28"	NA
"ANO2"	NA
"ANKRD26P1"	NA
"ANKFY1"	NA
"ANK3"	615493
"APCDD1"	605389
"ANKRD36B"	NA
"ALKBH8"	NA
"AMDHD2"	NA
"ARHGAP36"	NA
"AP2A2"	NA
"ARHGAP26"	607785
"APRT"	614723
"ARID4A"	NA
"ANKRD24"	NA
"ARL17B"	NA
"ARMC3"	NA
"ARHGAP27"	NA
"AP2A1"	NA
"ARHGDIA"	615244
"ANKRD62"	NA
"AMH"	261550
"APBA3"	NA
"ARHGEF9"	300607
"AQP8"	NA
"APOO"	NA
"ARHGAP12"	NA
"ANO8"	NA
"APOBEC1"	NA
"ARHGAP15"	NA
"ARL17A"	NA
"ARHGEF1"	NA
"ARHGEF28"	NA
"ALDH5A1"	271980
"ANO5"	613319
"ANO5"	611307
"ANO5"	166260
"ANKRD30B"	NA
"ARSD"	NA
"ANKDD1B"	NA
"AMBP"	NA
"ANKRD63"	NA
"ALYREF"	NA
"ANAPC11"	NA
"ARR3"	301010
"AP1M2"	NA
"ARL5A"	NA
"ARG1"	207800
"ALPP"	NA
"APLP2"	NA
"ARHGAP4"	NA
"ALOX12"	NA
"ALPI"	NA
"ARL14EP"	NA
"AMMECR1"	300990
"ANLN"	616032
"AMACR"	614307
"AMACR"	214950
"APBB3"	NA
"ANXA11"	617839
"ARG2"	NA
"AMPH"	NA
"ARHGEF6"	300436
"ARSE"	302950
"AMER1"	300373
"ANKRD13D"	NA
"ARID5B"	NA
"ANGPTL8"	NA
"ANO10"	613728
"AP1B1"	NA
"ANGPT4"	NA
"ANKRD10"	NA
"AP1M1"	NA
"ARHGAP44"	NA
"ANKRD2"	NA
"ANKRD44"	NA
"ARFGAP3"	NA
"ARHGEF7"	NA
"ARC"	NA
"ANKRD20A3"	NA
"ARHGAP18"	NA
"ANAPC16"	NA
"ALOX5"	600807
"ARCN1"	617164
"ANKRD60"	NA
"AMT"	605899
"AMPD3"	612874
"ARHGEF33"	NA
"ARAP2"	NA
"ANKS6"	615382
"AOAH"	NA
"ANGPTL4"	615881
"ANKRD20A1"	NA
"ARL6IP6"	NA
"AP1S3"	616106
"ANXA8"	NA
"AP2S1"	600740
"ANOS1"	308700
"ARHGAP35"	NA
"ALG11"	613661
"ANKRD1"	NA
"ARHGEF11"	NA
"ANKS4B"	NA
"AMBRA1"	NA
"ANGPTL1"	NA
"ALDH6A1"	614105
"ANKRD20A4"	NA
"ANKRD22"	NA
"ARMC1"	NA
"ARF6"	NA
"ANXA6"	NA
"AQR"	NA
"ARHGEF17"	NA
"APOE"	617347
"APOE"	611771
"APOE"	606889
"APOE"	603075
"APOE"	269600
"APOE"	104310
"APOC1"	NA
"APOF"	NA
"APOLD1"	NA
"ANKS1A"	NA
"ALKBH7"	NA
"APCS"	NA
"ARHGAP19"	NA
"ARFGAP1"	NA
"ALG2"	616228
"ALG2"	607906
"AP3S1"	NA
"AMD1"	NA
"APOC4-APOC2"	NA
"APOC4"	NA
"APOC2"	207750
"ANGPT2"	NA
"ALLC"	612396
"ARHGEF26"	NA
"ANTXRL"	NA
"ALDOA"	611881
"ANXA8L1"	NA
"ALOX15"	NA
"ANGPTL7"	NA
