"","id_A","id_B","protein_A","protein_B","protein_fullname_A","protein_fullname_B","complexID","uniprot_A","uniprot_B","testB","testA"
"1",17058,17055,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-2180","P17787","P43681","p43681","p17787"
"2",17061,17054,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-2180","P17787","P43681","p43681","p17787"
"3",17064,17057,"p43681-pro_0000000351","p17787-pro_0000000379","Neuronal acetylcholine receptor subunit alpha-4","Neuronal acetylcholine receptor subunit beta-2","CPX-2180","P43681","P17787","p17787","p43681"
"4",17066,17063,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-2180","P17787","P43681","p43681","p17787"
"5",17067,17060,"p17787-pro_0000000379","p17787-pro_0000000379","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit beta-2","CPX-2180","P17787","P17787","p17787","p17787"
"6",10096,10093,"p43681-pro_0000000351","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit alpha-4","Neuronal acetylcholine receptor subunit alpha-4","CPX-168","P43681","P43681","p43681","p43681"
"7",10100,10097,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-168","P17787","P43681","p43681","p17787"
"8",10103,10099,"p43681-pro_0000000351","p17787-pro_0000000379","Neuronal acetylcholine receptor subunit alpha-4","Neuronal acetylcholine receptor subunit beta-2","CPX-168","P43681","P17787","p17787","p43681"
"9",10105,10094,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-168","P17787","P43681","p43681","p17787"
"10",10106,10102,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-168","P17787","P43681","p43681","p17787"
"11",10096,10093,"p43681-pro_0000000351","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit alpha-4","Neuronal acetylcholine receptor subunit alpha-4","CPX-168","P43681","P43681","p43681","p43681"
